Sr. No.,File name,"Cohort (""BC009""=Cohort1, ""BC010""=Cohort2)",Diet
1,c01_2022_SynTOF2_Mk-LatTempCtx_BC009_FluiXT_Co_8398_medi.fcs_file_internal_comp_PSD95-Gep-.txt,1,mediterranean
2,c01_2022_SynTOF2_Mk-LatTempCtx_BC010_FluiXT_Co_8390_medi.fcs_file_internal_comp_PSD95-Gep-.txt,2,mediterranean
3,c02_2022_SynTOF2_Mk-LatTempCtx_BC009_FluiXT_Co_8364_medi.fcs_file_internal_comp_PSD95-Gep-.txt,1,mediterranean
4,c02_2022_SynTOF2_Mk-LatTempCtx_BC010_FluiXT_Co_8401_medi.fcs_file_internal_comp_PSD95-Gep-.txt,2,mediterranean
5,c03_2022_SynTOF2_Mk-LatTempCtx_BC009_FluiXT_Co_8383_medi.fcs_file_internal_comp_PSD95-Gep-.txt,1,mediterranean
6,c03_2022_SynTOF2_Mk-LatTempCtx_BC010_FluiXT_Co_8385_medi.fcs_file_internal_comp_PSD95-Gep-.txt,2,mediterranean
7,c04_2022_SynTOF2_Mk-LatTempCtx_BC009_FluiXT_Co_8399_medi.fcs_file_internal_comp_PSD95-Gep-.txt,1,mediterranean
8,c04_2022_SynTOF2_Mk-LatTempCtx_BC010_FluiXT_Co_8389_medi.fcs_file_internal_comp_PSD95-Gep-.txt,2,mediterranean
9,c05_2022_SynTOF2_Mk-LatTempCtx_BC009_FluiXT_Co_8375_medi.fcs_file_internal_comp_PSD95-Gep-.txt,1,mediterranean
10,c05_2022_SynTOF2_Mk-LatTempCtx_BC010_FluiXT_Co_8359_medi.fcs_file_internal_comp_PSD95-Gep-.txt,2,mediterranean
11,c06_2022_SynTOF2_Mk-LatTempCtx_BC009_FluiXT_Co_8377_medi.fcs_file_internal_comp_PSD95-Gep-.txt,1,mediterranean
12,c06_2022_SynTOF2_Mk-LatTempCtx_BC010_FluiXT_Co_8372_medi.fcs_file_internal_comp_PSD95-Gep-.txt,2,mediterranean
