,n_features,marker,algo,Pearson,Spearman,Pvalue(Pearson),Pvalue(Spearman),MAPE,Method
Linear Regression_89Y_EAAT1_(Y89Di)_shap_5,5.0,89Y_EAAT1_(Y89Di),Linear Regression,0.3458506114870992,0.3052767052767053,0.03881773802256912,0.07021639821272746,0.19133470203022993,shap
Linear Regression_89Y_EAAT1_(Y89Di)_shap_10,10.0,89Y_EAAT1_(Y89Di),Linear Regression,0.472647220840735,0.44555984555984557,0.0036041597959028016,0.006463185318443532,0.17080032717479077,shap
Linear Regression_89Y_EAAT1_(Y89Di)_shap_20,20.0,89Y_EAAT1_(Y89Di),Linear Regression,-0.07551945975101063,-0.018532818532818532,0.6615663998142911,0.9145655426903782,0.31898257633782073,shap
Linear Regression_89Y_EAAT1_(Y89Di)_shap_40,40.0,89Y_EAAT1_(Y89Di),Linear Regression,0.26225555483086777,0.17554697554697557,0.12230085778374927,0.30579286628416225,0.3107660818011087,shap
Linear Regression_89Y_EAAT1_(Y89Di)_shap_60,60.0,89Y_EAAT1_(Y89Di),Linear Regression,-0.16589427585289923,-0.21003861003861007,0.3335641557414718,0.21887414463931779,0.37200357529265893,shap
Linear Regression_89Y_EAAT1_(Y89Di)_shap_61,61.0,89Y_EAAT1_(Y89Di),Linear Regression,-0.18250795321392213,-0.25199485199485205,0.2867032371196996,0.13816598703814836,0.3747654403611934,shap
Linear Regression_113In_VMAT2_(In113Di)_shap_5,5.0,113In_VMAT2_(In113Di),Linear Regression,0.34696702842497057,0.32972972972972975,0.03815086110804848,0.04954526243675254,0.19524767814143903,shap
Linear Regression_113In_VMAT2_(In113Di)_shap_10,10.0,113In_VMAT2_(In113Di),Linear Regression,0.4191147361467596,0.3788931788931789,0.010949916088617362,0.02267662157582223,0.21419807934733584,shap
Linear Regression_113In_VMAT2_(In113Di)_shap_20,20.0,113In_VMAT2_(In113Di),Linear Regression,0.49834236418621053,0.3845559845559846,0.001980018602329969,0.020571567789587995,0.22750830949987824,shap
Linear Regression_113In_VMAT2_(In113Di)_shap_40,40.0,113In_VMAT2_(In113Di),Linear Regression,0.5887011311113531,0.535907335907336,0.0001588765564716533,0.0007555182975820491,0.2001819931020772,shap
Linear Regression_113In_VMAT2_(In113Di)_shap_60,60.0,113In_VMAT2_(In113Di),Linear Regression,0.06150238208049242,0.08854568854568855,0.7215943777169196,0.6075770347240855,0.3203380978908501,shap
