Diet,BMI,IV GTT Insulin AUC,24 Hour Activity,Calories/Day,Calories/Day/KG,Gait Speed,Steatosis (0-Liver HU),% Whole Body Fat,Acute Stress Cortisol,ACTH Challenge Cortisol,Systolic BP,Diastolic BP,Mean BP,Pulse Wave Velocity,CSF pTau181,CSF Ab42,CSF Ab40,CSF Ab42/Ab40,CSF pTau181/Ab42,Day Mean Heart Rate,Day SDNN HR Sdnn,Day RMSSD,Day VLF HR Oscillations,Day %LF HR Oscillations,Day %HF HR Oscillations,Day LF/HF HR Oscillations,Night Mean Heart Rate,Night SDNN,Night RMSSD,Night  %VLF HR Oscillations,Night LF HR Oscillations,Night %HF Oscillations,Night LF/HF HR Oscillations,Sup.Temp.Gyrus Thickness-Left,Mid.Temp.Gyrus Thickness-Left,Sup.Temp.Gyrus Thickness-Right,Mid.Temp.Gyrus Thickness-Right,Coronary Artery Atherosclerosis,LAD Atherosclerosis,% Change Left Caudate,% Change Left Putamen,% Change Right Caudate,% Change Right Putamen,% Change Left Meta ROI,% Change Right Meta ROI,% Change CSF,% Change Total Gray Matter,% Change Cortical Gray Matter,% ChangeDeep Gray Matter,% Change White Matter,% Change Brain Volume,Mean Peak Progesterone,Menstrual Cycle Length,Time to Sleep,Total Sleep Time,# Awakenings Night,% Time Alone,% Time Body Contact,% Time Depressed,% Time Anxiety
1.0,44.84953703703704,5829.709992018357,11372.641666666665,344.1375,90.5625,56.7,59.38444444444445,31.0985,15872.607331699972,1057.2749967229624,122.32999999999998,63.67,84.66999999999999,5.699999999999999,23.509999999999998,370.75,26787.278,0.013840525341917907,0.06341200269723533,155.4202823,25.483,3.7983,18.52,52.32,29.16,1.7942,126.9975659,39.3795,5.408,19.56,54.19,26.25,2.0643,2.461581,2.05473,2.55206,2.038723,0.021838752147855262,0.048000706,1.30586186883343,3.750901659052657,3.4678624813153958,1.2492444086238164,-11.13203042119359,-8.611527532268013,12.877431045744746,-4.42409739481797,-7.232988191625397,74.87396471011884,4.802594684596661,-1.2172773817082876,14.830079999999999,26.42857,5.0,693.0,12.0,45.598958333333314,2.7145833333333322,0.0,26.68437499999999
2.0,30.236286149956342,1323.5199994543786,22691.145833333332,233.40444444444444,101.48019323671498,52.16199999999999,75.38333333333334,9.189599999999999,11057.594258220346,402.48751185198034,131.0,78.0,96.66999999999999,9.2,23.47,526.6699999999998,11872.897999999997,0.04435900990642722,0.044563009094879154,113.9190036,65.0161,13.3359,11.07,60.04,28.9,2.0777,101.0152028,57.2618,11.7949,12.8,60.08,27.12,2.2149,2.690592,2.297497,2.856955,2.440959,0.018545611851600242,0.0208987402192029,0.0,1.3610071452875128,0.8888888888888888,0.37856726849155503,1.851011675074795,2.014798689146696,0.7719199755027049,0.14069603841815792,0.5478349562528886,-14.426229508196723,0.21152311699260798,0.16476951456956523,16.583189999999995,33.7,11.0,648.0,11.0,19.00833333333333,40.34895833333333,10.163541666666664,19.559374999999996
1.0,73.6732570239334,28939.850000385035,21594.016666666666,414.2223529411764,60.032225063938604,52.754,39.46555555555555,54.568299999999994,17253.745380506974,714.6374981697213,114.0,68.0,85.0,11.0,16.14,380.01,13376.615999999998,0.02840853022917007,0.0424725665114076,136.6929421,92.1606,23.2864,21.06,53.58,25.36,2.1128,130.3242903,39.7981,5.9847,13.68,58.5,27.81,2.1034,3.201963,2.439203,3.192378,2.47135,0.018142325823591775,0.022839706,-3.0900723208415517,3.075937199615508,2.472624514305899,-2.0065075921908893,19.207486352739256,18.582387241940854,-3.093893890300055,7.629816300815703,11.064818215846163,-54.83809402633756,-4.588159425421071,3.426442311875201,3.39994,43.5,31.0,639.0,6.0,57.355208333333316,5.6395833333333325,0.0,10.878124999999995
1.0,35.14217096522149,5872.179995237917,17281.55,187.09411764705882,74.83764705882353,56.629999999999995,77.72555555555556,12.418,13560.007162408783,554.1937478829379,114.32999999999998,67.32999999999998,84.66999999999999,6.4,37.42999999999999,541.1699999999998,14493.333999999999,0.03733923471300667,0.06916495740709944,85.41776405,179.7954,56.6452,11.95,60.3,27.75,2.1726,85.74368355,235.2067,59.0129,12.83,60.52,26.65,2.2708,2.959141,2.155974,2.774979,2.114994,0.017350480703586756,0.0171344544430411,-1.2263838249917136,0.3855050115651504,1.8266475644699143,0.9656411408039525,4.764321104904958,2.3357608845246096,-0.7937613145801421,0.7418168860137536,0.9807511152977979,-5.637813211845103,-0.23328706690386355,0.4057847342300869,6.426779999999999,25.71429,16.0,524.0,34.0,60.38854166666664,4.576041666666665,0.038541666666666655,27.255208333333325
1.0,42.38683127572016,601.1400005218604,17054.091666666664,220.2882352941176,75.96146044624747,54.205999999999996,69.84333333333332,11.7301,10349.485063561831,718.8562471655507,114.66999999999999,55.67,76.66999999999999,7.5,21.309999999999995,459.3399999999999,44916.822,0.010226458140782976,0.046392650324378455,98.28009828,184.5971,56.9585,11.02,59.81,29.17,2.0505,104.5114092,85.5103,18.9737,17.01,56.67,26.32,2.1531,2.937215,2.465938,3.09469,2.611117,0.020646999412451645,0.051248814,-0.6851192107426692,-3.8905225062203117,-0.421822272215973,1.8354055654233272,10.677617189811345,16.181163728522716,-8.533197139938713,4.432347899311298,7.46815235784298,-44.83419689119171,-2.2550099563614796,2.010227608404593,22.116329999999998,32.72727,7.0,685.0,16.0,36.89895833333332,11.947916666666659,0.4322916666666666,21.703124999999996
1.0,51.63278546712803,3765.6799973987536,28604.858333333334,248.65411764705888,69.07058823529414,49.922000000000004,69.38555555555556,24.3774,12019.811268176065,346.4437622216095,117.66999999999999,70.0,87.32999999999998,5.9,44.95,538.01,25738.381999999998,0.02090302335243917,0.08354863292503857,130.7616868,71.8301,17.5817,16.22,57.41,26.37,2.1772,118.9602871,46.7391,11.5578,12.88,59.32,27.8,2.1336,3.321342,2.35621,3.257163,2.337841,0.028610040041112905,0.0525265764933549,0.19230769230769232,5.5329790559549865,3.835508105970739,2.117129502337091,19.071094797864603,16.967949875103617,-9.025789319498388,5.848592066002511,8.902992276334814,-51.63521199586349,-3.6621413763124457,2.731128818352204,22.63295,31.90909,29.0,641.0,11.0,50.98124999999998,2.103125,0.8187499999999996,11.47395833333333
2.0,37.59182736455463,1896.7199987271283,5889.975000000002,217.6977777777778,83.72991452991454,59.23,79.42666666666666,8.2929,20987.077156302294,727.2749968462365,139.0,85.0,104.0,5.299999999999999,27.96,812.9199999999998,17141.970999999998,0.04742278469611225,0.034394528366874975,104.0979909,201.3141,56.6621,18.71,54.08,27.21,1.9873,118.656805,83.1484,20.1797,13.53,60.31,26.16,2.3054,2.771405,2.281938,2.816351,2.414837,0.017758820787235657,0.024864364041738,0.5234079674323932,2.740021574973031,3.5196687370600417,4.800152992924078,4.3086160159593225,1.5715384646149362,0.015818780055682106,-0.22671175999011547,-0.15503507594342705,-2.3584489002738276,1.0604136685572392,0.20753445262312126,11.549799999999998,27.30769,0.0,699.0,5.0,16.885416666666664,57.72708333333331,0.11979166666666666,14.012499999999996
2.0,37.5478811185635,1058.700001243014,7653.9375,208.91555555555558,83.56622222222224,58.67399999999999,79.42444444444445,17.2425,22845.696275830873,465.3374979916588,101.0,59.33,74.32999999999998,5.1,25.259999999999998,498.1,26868.466999999997,0.018538459972427906,0.05071270829150772,141.2928294,43.9728,9.8172,16.6,58.15,25.25,2.3029,137.014455,43.0693,9.8048,12.18,59.22,28.6,2.0704,2.541337,2.013547,2.438687,2.086429,0.01337989611957318,0.0351602102803289,-1.4690451206715633,-2.7478260869565214,-0.2911208151382824,0.03114294612270321,-9.954631889292205,-12.120425196151306,8.267191121725084,-5.637215913898432,-8.023258260680494,60.29654036243822,6.48019881241603,-1.6731265855647,17.002179999999996,30.18182,0.0,631.0,22.0,22.287499999999994,57.51874999999999,2.8354166666666663,41.42187499999999
1.0,37.9615323139219,1713.6700004111003,25101.78333333333,312.62823529411764,107.8028397565923,51.867999999999995,75.08222222222223,9.086499999999997,14207.80149942396,664.6124979334459,137.66999999999996,72.32999999999998,95.32999999999998,7.799999999999999,47.94,416.54999999999995,31811.299,0.013094403972626203,0.11508822470291682,138.8503194,45.7705,7.0288,22.47,52.37,25.16,2.0812,123.1097523,42.7575,4.6222,14.07,57.23,28.7,1.994,2.929386,2.277158,2.891439,2.336268,0.03941395951402564,0.112015711850873,2.482876712328767,4.566608493310064,5.6764705882352935,2.909090909090909,4.052746450687881,4.078490920888803,-4.384225375148219,1.0883421122255093,1.0172794756572905,3.2935285053929118,0.5257425906781582,0.8901603301246536,7.90964,30.66667,16.0,622.0,13.0,36.49479166666666,0.7656249999999998,0.0,8.93020833333333
1.0,42.6041434617955,1486.4799993009087,10970.5625,234.3705882352941,75.6034155597723,60.20799999999999,63.332222222222214,20.8461,18415.035573425645,489.0937482390631,118.32999999999998,74.66999999999999,90.66999999999999,8.0,38.7,584.3699999999999,42915.157999999996,0.013616867028661528,0.06622516556291393,165.4624676,54.1724,5.5716,20.45,53.59,25.96,2.0644,123.67564,55.6804,6.8411,18.96,55.24,25.8,2.1413,3.007155,2.420663,2.998414,2.495755,0.011165482034019973,0.0160500004901875,0.384985563041386,0.77948202162434,1.7113335485954149,0.5025125628140703,13.065335373258332,13.276721170297787,-5.793980962773161,4.301835258038238,6.973868939959273,-43.570133695898484,-4.279967920603494,1.526419024615609,18.05279,25.0,10.0,568.0,29.0,45.844791666666644,14.707291666666665,1.506249999999999,23.82291666666666
